127.0.0.1 - - [03/May/2024:09:59:07 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [03/May/2024:09:59:08 +0530] "GET /shopping-cart/ HTTP/1.1" 200 6796
0:0:0:0:0:0:0:1 - - [03/May/2024:09:59:08 +0530] "GET /shopping-cart/css/changes.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2024:09:59:08 +0530] "GET /shopping-cart/ShowImage?pid=P20240430113135 HTTP/1.1" 200 15898
0:0:0:0:0:0:0:1 - - [03/May/2024:10:00:09 +0530] "GET /shopping-cart/login.jsp HTTP/1.1" 200 7054
0:0:0:0:0:0:0:1 - - [03/May/2024:10:00:13 +0530] "POST /shopping-cart/LoginSrv HTTP/1.1" 200 7365
0:0:0:0:0:0:0:1 - - [03/May/2024:10:00:13 +0530] "GET /shopping-cart/ShowImage?pid=P20240430113135 HTTP/1.1" 200 15898
0:0:0:0:0:0:0:1 - - [03/May/2024:10:00:15 +0530] "POST /shopping-cart/RemoveProductSrv?prodid=P20240430113135 HTTP/1.1" 200 7446
0:0:0:0:0:0:0:1 - - [03/May/2024:10:00:23 +0530] "GET /shopping-cart/adminViewProduct.jsp HTTP/1.1" 200 6617
0:0:0:0:0:0:0:1 - - [03/May/2024:10:00:23 +0530] "GET /shopping-cart/adminViewProduct.jsp HTTP/1.1" 200 6617
0:0:0:0:0:0:0:1 - - [03/May/2024:10:01:03 +0530] "GET /shopping-cart/adminViewProduct.jsp HTTP/1.1" 200 6617
0:0:0:0:0:0:0:1 - - [03/May/2024:10:01:04 +0530] "GET /shopping-cart/addProduct.jsp HTTP/1.1" 200 8828
0:0:0:0:0:0:0:1 - - [03/May/2024:10:02:31 +0530] "POST /shopping-cart/AddProductSrv HTTP/1.1" 200 8944
0:0:0:0:0:0:0:1 - - [03/May/2024:10:02:32 +0530] "GET /shopping-cart/adminViewProduct.jsp HTTP/1.1" 200 7399
0:0:0:0:0:0:0:1 - - [03/May/2024:10:02:32 +0530] "GET /shopping-cart/ShowImage?pid=P20240503100231 HTTP/1.1" 200 49841
0:0:0:0:0:0:0:1 - - [03/May/2024:10:03:26 +0530] "GET /shopping-cart/addProduct.jsp HTTP/1.1" 200 8828
0:0:0:0:0:0:0:1 - - [03/May/2024:10:04:02 +0530] "POST /shopping-cart/AddProductSrv HTTP/1.1" 200 8944
0:0:0:0:0:0:0:1 - - [03/May/2024:10:04:15 +0530] "GET /shopping-cart/adminViewProduct.jsp HTTP/1.1" 200 8173
0:0:0:0:0:0:0:1 - - [03/May/2024:10:04:15 +0530] "GET /shopping-cart/ShowImage?pid=P20240503100402 HTTP/1.1" 200 15223
0:0:0:0:0:0:0:1 - - [03/May/2024:10:04:15 +0530] "GET /shopping-cart/ShowImage?pid=P20240503100231 HTTP/1.1" 200 49841
0:0:0:0:0:0:0:1 - - [03/May/2024:10:05:11 +0530] "GET /shopping-cart/addProduct.jsp HTTP/1.1" 200 8828
0:0:0:0:0:0:0:1 - - [03/May/2024:10:06:23 +0530] "POST /shopping-cart/AddProductSrv HTTP/1.1" 200 8944
0:0:0:0:0:0:0:1 - - [03/May/2024:10:06:24 +0530] "GET /shopping-cart/adminViewProduct.jsp HTTP/1.1" 200 8990
0:0:0:0:0:0:0:1 - - [03/May/2024:10:06:24 +0530] "GET /shopping-cart/ShowImage?pid=P20240503100402 HTTP/1.1" 200 15223
0:0:0:0:0:0:0:1 - - [03/May/2024:10:06:24 +0530] "GET /shopping-cart/ShowImage?pid=P20240503100231 HTTP/1.1" 200 49841
0:0:0:0:0:0:0:1 - - [03/May/2024:10:06:24 +0530] "GET /shopping-cart/ShowImage?pid=P20240503100623 HTTP/1.1" 200 159480
0:0:0:0:0:0:0:1 - - [03/May/2024:10:06:37 +0530] "GET /shopping-cart/addProduct.jsp HTTP/1.1" 200 8828
0:0:0:0:0:0:0:1 - - [03/May/2024:10:08:04 +0530] "POST /shopping-cart/AddProductSrv HTTP/1.1" 200 8944
0:0:0:0:0:0:0:1 - - [03/May/2024:10:08:06 +0530] "GET /shopping-cart/adminViewProduct.jsp HTTP/1.1" 200 9782
0:0:0:0:0:0:0:1 - - [03/May/2024:10:08:06 +0530] "GET /shopping-cart/ShowImage?pid=P20240503100623 HTTP/1.1" 200 159480
0:0:0:0:0:0:0:1 - - [03/May/2024:10:08:06 +0530] "GET /shopping-cart/ShowImage?pid=P20240503100804 HTTP/1.1" 200 36245
0:0:0:0:0:0:0:1 - - [03/May/2024:10:08:06 +0530] "GET /shopping-cart/ShowImage?pid=P20240503100231 HTTP/1.1" 200 49841
0:0:0:0:0:0:0:1 - - [03/May/2024:10:08:06 +0530] "GET /shopping-cart/ShowImage?pid=P20240503100402 HTTP/1.1" 200 15223
0:0:0:0:0:0:0:1 - - [03/May/2024:10:08:13 +0530] "GET /shopping-cart/adminViewProduct.jsp?type=vegetables HTTP/1.1" 200 7405
0:0:0:0:0:0:0:1 - - [03/May/2024:10:08:13 +0530] "GET /shopping-cart/ShowImage?pid=P20240503100804 HTTP/1.1" 200 36245
0:0:0:0:0:0:0:1 - - [03/May/2024:10:08:14 +0530] "GET /shopping-cart/adminViewProduct.jsp HTTP/1.1" 200 9782
0:0:0:0:0:0:0:1 - - [03/May/2024:10:08:14 +0530] "GET /shopping-cart/ShowImage?pid=P20240503100402 HTTP/1.1" 200 15223
0:0:0:0:0:0:0:1 - - [03/May/2024:10:08:14 +0530] "GET /shopping-cart/ShowImage?pid=P20240503100623 HTTP/1.1" 200 159480
